,0,1,2,3
0,97987,43885,0,b
1,83885,80582,0,b
2,54059,78587,0,b
3,63578,39879,0,b
4,34023,74343,0,b
5,72447,94953,0,b
6,40484,58296,0,b
7,77952,23251,0,b
8,48830,12161,0,b
9,33715,73319,0,b
10,41675,37629,0,b
11,53563,46308,0,b
12,15123,50813,0,b
13,60216,15135,0,b
14,86854,12172,0,b
15,72774,11548,0,b
16,96673,93916,0,b
17,31328,75189,0,b
18,28775,61103,0,b
19,56656,24157,0,b
20,62613,30631,0,b
21,90017,98881,0,b
22,50996,18109,0,b
23,83310,82274,0,b
24,65414,40567,0,b
25,5108,49845,0,b
26,8283,34479,0,b
27,86341,97091,0,b
28,53011,35511,0,b
29,57536,46113,0,b
30,37731,87260,0,b
31,23260,33503,0,b
32,60427,64527,0,b
33,43605,80678,0,b
34,66547,65507,0,b
35,904,45674,0,b
36,18530,78431,0,b
37,26082,24452,0,b
38,8353,20801,0,b
39,96463,58157,0,b
40,23896,87358,0,b
41,80258,80656,0,b
42,51504,21834,0,b
43,55881,6332,0,b
44,74851,49719,0,b
45,43616,14491,0,b
46,21170,58,0,b
47,33183,20911,0,b
48,1664,82316,0,b
49,8530,6537,0,b
50,51078,23258,0,b
51,79669,26796,0,b
52,66399,53374,0,b
53,66773,39372,0,b
54,29083,79330,0,b
55,34214,23742,0,b
56,86129,81711,0,b
57,96885,21763,0,b
58,2920,63746,0,b
59,58502,84648,0,b
60,86519,64131,0,b
61,66823,31185,0,b
62,33302,16765,0,b
63,10747,22475,0,b
64,75681,50414,0,b
65,7013,4229,0,b
66,39882,85873,0,b
67,88223,59134,0,b
68,34067,72785,0,b
69,83663,37192,0,b
70,29732,46742,0,b
71,5683,25143,0,b
72,94555,54579,0,b
73,31585,97178,0,b
74,58800,3911,0,b
75,79652,98922,0,b
76,15806,73328,0,b
77,76969,49671,0,b
78,26637,63336,0,b
79,77324,72059,0,b
80,38166,19076,0,b
81,87904,83177,0,b
82,44315,53600,0,b
83,42156,21446,0,b
84,37896,49656,0,b
85,76984,32764,0,b
86,60180,4852,0,b
87,75532,51365,0,b
88,38075,7116,0,b
89,82025,97979,0,b
90,84126,50199,0,b
91,21052,26173,0,b
92,83063,18900,0,b
93,38285,85806,0,b
94,43686,4792,0,b
95,49074,77795,0,b
96,21182,38313,0,b
97,80437,79828,0,b
98,63714,78860,0,b
99,64698,6052,0,b
100,53939,72832,0,b
101,46743,10897,0,b
102,18512,24935,0,b
103,88006,88003,0,b
104,23520,62281,0,b
105,72496,86077,0,b
106,56398,14282,0,b
107,67244,53155,0,b
108,44598,80939,0,b
109,9243,31636,0,b
110,96935,44182,0,b
111,92807,23151,0,b
112,98184,68106,0,b
113,39709,96322,0,b
114,12265,3621,0,b
115,35158,33799,0,b
116,56818,68853,0,b
117,378,85153,0,b
118,45267,54937,0,b
119,18837,73998,0,b
120,3416,41480,0,b
121,8037,18098,0,b
122,45500,55962,0,b
123,67624,18229,0,b
124,26846,22297,0,b
125,412,64932,0,b
126,43833,90361,0,b
127,62690,29006,0,b
128,93104,19119,0,b
129,46221,4310,0,b
130,48732,43966,0,b
131,12342,18601,0,b
132,18612,1929,0,b
133,84096,95552,0,b
134,81632,77877,0,b
135,94417,67648,0,b
136,24078,37575,0,b
137,11075,48672,0,b
138,72413,5216,0,b
139,41693,37940,0,b
140,95299,42626,0,b
141,66817,11315,0,b
142,10877,97672,0,b
143,33347,42318,0,b
144,50687,72821,0,b
145,36969,93991,0,b
146,16471,46160,0,b
147,4021,87326,0,b
148,48044,69492,0,b
149,35915,67745,0,b
150,35741,50859,0,b
151,72554,98046,0,b
152,6407,41912,0,b
153,30668,79045,0,b
154,91806,38468,0,b
155,7060,15051,0,b
156,22606,36775,0,b
157,76266,53264,0,b
158,7652,70348,0,b
159,8770,87918,0,b
160,85375,82824,0,b
161,85694,68815,0,b
162,53684,64196,0,b
163,62323,1021,0,b
164,13620,40618,0,b
165,64599,51919,0,b
166,60502,59862,0,b
167,4634,80253,0,b
168,36417,99604,0,b
169,91176,96411,0,b
170,19195,32004,0,b
171,11581,47409,0,b
172,50153,8176,0,b
173,90716,35432,0,b
174,43752,36929,0,b
175,15331,78705,0,b
176,62385,24268,0,b
177,5862,51373,0,b
178,99545,33607,0,b
179,65306,58529,0,b
180,47297,33877,0,b
181,59750,43752,0,b
182,17659,59939,0,b
183,1608,2378,0,b
184,52643,56808,0,b
185,98029,41712,0,b
186,38154,2954,0,b
187,55631,93875,0,b
188,12851,69346,0,b
189,99144,46760,0,b
190,54967,49141,0,b
191,90745,24080,0,b
192,19221,398,0,b
193,26992,56430,0,b
194,56689,26952,0,b
195,21111,78227,0,b
196,65796,53628,0,b
197,14137,12439,0,b
198,79187,63550,0,b
199,60959,2786,0,b
200,282,56163,0,b
201,21654,1278,0,b
202,18660,43726,0,b
203,68015,79391,0,b
204,22837,44764,0,b
205,39088,94081,0,b
206,37711,12926,0,b
207,64302,32574,0,b
208,5040,41001,0,b
209,45935,43966,0,b
210,85023,97325,0,b
211,28542,69117,0,b
212,50498,52663,0,b
213,43001,58921,0,b
214,2126,91081,0,b
215,38000,26536,0,b
216,28314,28624,0,b
217,35327,83779,0,b
218,72947,27663,0,b
219,48364,73681,0,b
220,15403,96199,0,b
221,45045,15777,0,b
222,48601,65639,0,b
223,23835,69785,0,b
224,4379,8019,0,b
225,18025,36826,0,b
226,75766,40709,0,b
227,45408,13800,0,b
228,10571,66312,0,b
229,43603,90730,0,b
